Chainage,Pipe_No.,Heat_No.,Coating _No.,Thk_mm,Stringing_Length_m,Actual_Length_m,Str_Rpt,Str_Date,Bend_Rpt,Bend_Date,Bend_Deg,Bend_Type,CC _Rpt,CC_Date,Weld_Line_No.,Weld_KM,Weld_Pre_Fix,Weld_Joint_No,weld_Rpt,weld _Date,WPS_no,RT_Rpt,RT_Date,Weld_Repair_Result,Weld_Repair_Rpt,Weld_repair_Date,UT_Rpt,UT_Date,JC_Rpt,JC_Date,Remarks
,L12308296,A162724,B1E02589,9.53,12.13,12.13,14,26.09.2023,,,,,,,A,KM11,M,2,18,27.09.2023,1,122,05.10.2023,ACC,,,,,20,03.11.2023,
,L12308073,A161011,B1E02062,9.53,11.85,11.85,14,26.09.2023,,,,,,,A,KM11,M,3,18,27.09.2023,1,122,05.10.2023,ACC,,,,,20,03.11.2023,
,L12306351,A262738,B1E00192,9.53,12.14,12.14,14,26.09.2023,,,,,,,A,KM11,M,4,18,27.09.2023,1,122,05.10.2023,ACC,,,,,20,03.11.2023,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12306186,A161011,B1E01529,9.53,11.82,11.82,56,02.02.2024,,,,,76,07.01.2024,A,,,,,,,,,,,,,,,,
,L12306315,A262725,B1E00209,9.53,12.14,12.14,49,16.01.2024,,,,,67,28.12.2023,A,KM13,FT,3,47,02.02.2024,2,,,,,,,,,,CONCRETE JOINT
,L12307185,A261008,B1E00854,9.53,11.69,11.69,48,12.01.2024,,,,,50,28.11.2023,A,KM13,FT,4,36,16.01.2024,2,260,16.01.2024,ACC,,,,,34,22.01.2024,CONCRETE JOINT
,L12307531,A261014,B1E02182,9.53,11.85,11.85,47,10.01.2024,,,,,38,16.11.2023,A,KM13,FT,5,35,12.01.2024,2,257,12.01.2024,ACC,,,,,34,22.01.2024,CONCRETE JOINT
,L12305669,A162730,B1E01650,9.53,11.83,11.83,46,06.01.2024,,,,,39,17.11.2023,A,KM13,FT,6,34,10.01.2024,2,255,10.01.2024,ACC,,,,,34,22.01.2024,CONCRETE JOINT
,L12305931,A162727,B1E02703,9.53,12.13,12.13,45,04.01.2024,,,,,46,24.11.2023,A,KM13,FT,7,33,06.01.2024,2,250,06.01.2024,ACC,,,,,33,09.01.2024,CONCRETE JOINT
,L12307951,A261012,B1E01691,9.53,11.87,11.87,45,04.01.2024,,,,,2,29.09.2023,A,KM13,FT,8,32,04.01.2024,2,244,04.01.2024,ACC,,,,,33,09.01.2024,CONCRETE JOINT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12306164,A262733,B1E01519,9.53,12.13,12.13,43,30.12.2023,,,,,29,31.10.2023,A,,,,,,,,,,,,,,,,
,L12306551,A262737,B1E01431,9.53,12.14,12.14,42,28.12.2023,,,,,25,27.10.2023,A,KM13,FT,18,30,30.12.2023,2,241,30.12.2023,ACC,,,,,30,31.12.2023,CONCRETE JOINT
,L12305781,A262723,B1E02665,9.53,12.13,12.13,41,25.12.2023,,,,,15,13.10.2023,A,KM13,FT,19,29,28..12.2023,2,236,28.12.2023,ACC,,,,,30,31.12.2023,CONCRETE JOINT
,L12306629,A262735,B1E01371,9.53,12.13,12.13,40,24.12.2023,,,,,24,26.10.2023,A,KM13,FT,20,28,27.12.2023,2,234,27.12.2023,ACC,,,,,30,31.12.2023,CONCRETE JOINT
,L12306493,A162724,B1E01562,9.53,12.14,12.14,39,23.12.2023,,,,,34,07.11.2023,A,KM13,FT,21,27,26.12.2023,2,233,26.12.2023,ACC,,,,,30,31.12.2023,CONCRETE JOINT
,L12307747,A161009,B1E02204,9.53,11.69,11.69,38,22.12.2023,,,,,9,07.10.2023,A,KM13,FT,22,26,25.12.2023,2,229,25.12.2023,ACC,,,,,27,28.12.2023,CONCRETE JOINT
,L12307805,A261018,B1E01901,9.53,11.94,11.94,37,21.12.2023,,,,,14,12.10.2023,A,KM13,FT,23,25,23.12.2023,2,224,23.12.2023,ACC,,,,,25,25.12.2023,CONCRETE JOINT
,L12307549,A161004,B1E02727,9.53,11.59,11.59,36,20.12.2023,,,,,21,21.10.2023,A,KM13,FT,24,24,22.12.2023,2,221,22.12.2023,ACC,,,,,25,25.12.2023,CONCRETE JOINT
,L12307708,A261018,B1E02285,9.53,11.85,11.85,35,19.12.2023,,,,,9,07.10.2023,A,KM13,FT,25,23,21.12.2023,2,217,21.12.2023,ACC,,,,,25,25.12.2023,CONCRETE JOINT
,L12307865,A161017,B1E02068,9.53,11.81,11.81,34,18.12.2023,,,,,3,30.09.2023,A,KM13,FT,26,22,20.12.2023,2,216,20.12.2023,ACC,,,,,25,25.12.2023,CONCRETE JOINT
,L12307735,A261018,B1E02112,9.53,11.95,11.95,33,16.12.2023,,,,,20,20.10.2023,A,KM13,FT,27,21,19.12.2023,2,216,20.12.2023,ACC,,,,,24,21.12.2023,CONCRETE JOINT
